Symbol,Price,Yield
BK,53.29,1.7347307
CLX,127.76,2.6286967
COO,223.17,0.026033757
HSY,97.65,2.6494346
MOS,24.13,0.3960396
TRV,135.01,2.0261714
DIS,101.35,1.6036655
TMO,198.73,0.3276319
TIF,99.62,1.9402406
TWX,93.02,1.6927768
TJX,74.36,1.64042
TMK,80.52,0.7204611
TSS,81.17,0.6091133
TSCO,65.94,1.6030874
TDG,283,0
TRIP,40.05,0
FOXA,34.56,0.9983361
FOX,34.09,1.0084034
TSN,73.92,1.6353229
USB,52.65,2.189781
UDR,32.92,3.668639
ULTA,209.09,0
UAA,13.14,0
UA,11.95,0
UNP,124.86,2.062655
UAL,63.37,0
UNH,216.46,1.3284917
UPS,109.28,2.9666696
URI,161.99,0
UTX,127.48,2.1216943
UHS,114.87,0.34153005
UNM,47.87,1.8189007
VFC,78.75,2.2865665
VLO,86.77,3.5618877
VAR,112.82,0
VTR,50.92,5.965641
VRSN,105.62,0
VRSK,92.28,0
VZ,49.04,4.626544
VRTX,151.6,0
VIAB,32.71,2.622091
V,113.86,0.70204765
VNO,66.18,3.744428
VMC,121.47,0.7797879
WMT,100.02,1.983471
WBA,68.22,2.2368238
WM,79.12,2.0800195
WAT,191.79,0
WEC,59.5,3.691948
WFC,55.4,2.7111576
HCN,54.67,6.1538463
WDC,80.09,2.389201
WU,18.81,3.5915854
WRK,60.93,2.6699784
WY,33.6,3.7079954
WHR,164.95,2.5652986
WMB,28.56,4
WLTW,152.36,1.347058
WYN,113.56,1.9541779
WYNN,169.28,1.1279043
XEL,42.44,3.3914273
XRX,29.8,3.207184
XLNX,62.82,2.0904882
XL,41.26,2.0952382
XYL,70.24,1.1700794
YUM,76.3,1.7970798
ZBH,115.53,0.7948336
ZION,50.71,1.480933
ZTS,71.51,0.68237203
